Tiempo desde erupcion (d);Magnitud;;;;;;;;;;;;
4517,2;8,6;;;;;;;;;;;;
4518,6;8,6;;;;;;;;;;;;
4519,4;9,0;;;;;;;;;;;;
4520,7;8,8;;;;;;;;;;;;
4522,6;8,8;;;;;;;;;;;;
4522,8;8,5;;;;;;;;;;;;
4523,5;9,2;;;;;;;;;;;;
4523,6;8,5;;;;;;;;;;;;
4524,4;8,4;;;;;;;;;;;;
4524,6;8,4;;;;;;;;;;;;
4525,6;8,6;;;;;;;;;;;;
4526,2;8,6;;;;;;;;;;;;
4526,5;8,5;;;;;;;;;;;;
4530,5;9,0;;;;;;;;;;;;
4531,6;8,5;;;;;;;;;;;;
4531,6;8,4;;;;;;;;;;;;
4532,6;8,7;;;;;;;;;;;;
4532,6;8,6;;;;;;;;;;;;
4532,6;8,8;;;;;;;;;;;;
4532,8;8,7;;;;;;;;;;;;
4533,5;8,3;;;;;;;;;;;;
4533,6;8,9;;;;;;;;;;;;
4533,6;8,4;;;;;;;;;;;;
4533,6;8,4;;;;;;;;;;;;
4536,4;9,1;;;;;;;;;;;;
4538,4;8,8;;;;;;;;;;;;
4539,6;8,5;;;;;;;;;;;;
4540;8,1;;;;;;;;;;;;
4540,6;8,3;;;;;;;;;;;;
4541,4;9,1;;;;;;;;;;;;
4541,4;8,5;;;;;;;;;;;;
4541,6;8,7;;;;;;;;;;;;
4542,6;8,7;;;;;;;;;;;;
4542,6;8,5;;;;;;;;;;;;
4543,3;8,2;;;;;;;;;;;;
4543,6;8,5;;;;;;;;;;;;
4543,6;8,6;;;;;;;;;;;;
4544,1;8,5;;;;;;;;;;;;
4546,4;9,2;;;;;;;;;;;;
4546,6;8,7;;;;;;;;;;;;
4547,1;8,4;;;;;;;;;;;;
4547,4;8,5;;;;;;;;;;;;
4547,4;8,7;;;;;;;;;;;;
4547,6;8,6;;;;;;;;;;;;
4549,1;8,4;;;;;;;;;;;;
4550,8;8,2;;;;;;;;;;;;
4554,3;8,4;;;;;;;;;;;;
4554,3;8,4;;;;;;;;;;;;
4554,4;9,2;;;;;;;;;;;;
4554,6;8,6;;;;;;;;;;;;
4556;8,1;;;;;;;;;;;;
4556,5;9,1;;;;;;;;;;;;
4556,6;8,5;;;;;;;;;;;;
4557,6;8,5;;;;;;;;;;;;
4559,4;8,7;;;;;;;;;;;;
4559,5;9,2;;;;;;;;;;;;
4560,5;8,9;;;;;;;;;;;;
4560,6;8,5;;;;;;;;;;;;
4561,5;9,0;;;;;;;;;;;;
4562,6;8,4;;;;;;;;;;;;
4563,6;9,1;;;;;;;;;;;;
4563,6;8,7;;;;;;;;;;;;
4565,5;9,0;;;;;;;;;;;;
4566;8,5;;;;;;;;;;;;
4567,4;8,8;;;;;;;;;;;;
4567,6;8,8;;;;;;;;;;;;
4568,5;9,0;;;;;;;;;;;;
4568,6;8,9;;;;;;;;;;;;
4569,6;8,5;;;;;;;;;;;;
4569,6;8,7;;;;;;;;;;;;
4571,3;8,4;;;;;;;;;;;;
4571,4;9,2;;;;;;;;;;;;
4571,5;8,8;;;;;;;;;;;;
4572,6;8,8;;;;;;;;;;;;
4573,5;9,0;;;;;;;;;;;;
4573,6;8,6;;;;;;;;;;;;
4574;8,3;;;;;;;;;;;;
4574,3;8,4;;;;;;;;;;;;
4574,5;8,8;;;;;;;;;;;;
4574,6;8,7;;;;;;;;;;;;
4575,5;9,1;;;;;;;;;;;;
4576,3;8,4;;;;;;;;;;;;
4576,6;8,8;;;;;;;;;;;;
4576,6;8,7;;;;;;;;;;;;
4579,4;8,4;;;;;;;;;;;;
4579,5;8,8;;;;;;;;;;;;
4579,5;8,7;;;;;;;;;;;;
4580,3;9,2;;;;;;;;;;;;
4580,3;8,5;;;;;;;;;;;;
4580,4;8,8;;;;;;;;;;;;
4580,5;9,1;;;;;;;;;;;;
4580,6;9,3;;;;;;;;;;;;
4581,4;8,2;;;;;;;;;;;;
4582,6;8,7;;;;;;;;;;;;
4584,5;8,5;;;;;;;;;;;;
4584,5;8,7;;;;;;;;;;;;
4584,5;8,9;;;;;;;;;;;;
4585;8,4;;;;;;;;;;;;
4585,5;8,8;;;;;;;;;;;;
4585,5;8,9;;;;;;;;;;;;
4586,5;8,9;;;;;;;;;;;;
4586,6;8,0;;;;;;;;;;;;
4587,1;8,4;;;;;;;;;;;;
4587,5;9,0;;;;;;;;;;;;
4588,5;9,0;;;;;;;;;;;;
4588,6;8,8;;;;;;;;;;;;
4589,5;9,0;;;;;;;;;;;;
4596,3;8,6;;;;;;;;;;;;
4596,5;8,8;;;;;;;;;;;;
4596,5;9,0;;;;;;;;;;;;
4598,6;8,8;;;;;;;;;;;;
4599,6;8,9;;;;;;;;;;;;
4600,1;8,5;;;;;;;;;;;;
4600,5;8,7;;;;;;;;;;;;
4600,5;9,0;;;;;;;;;;;;
4600,6;8,6;;;;;;;;;;;;
4601,5;9,2;;;;;;;;;;;;
4601,5;9,0;;;;;;;;;;;;
4602,3;8,4;;;;;;;;;;;;
4602,5;8,9;;;;;;;;;;;;
4602,6;8,9;;;;;;;;;;;;
4603,6;8,9;;;;;;;;;;;;
4604,3;8,9;;;;;;;;;;;;
4604,4;9,3;;;;;;;;;;;;
4604,5;8,9;;;;;;;;;;;;
4605,5;8,5;;;;;;;;;;;;
4605,5;8,6;;;;;;;;;;;;
4605,6;8,9;;;;;;;;;;;;
4605,6;8,6;;;;;;;;;;;;
4606,5;8,9;;;;;;;;;;;;
4607,5;8,9;;;;;;;;;;;;
4608,5;8,6;;;;;;;;;;;;
4608,5;9,0;;;;;;;;;;;;
4609,5;8,9;;;;;;;;;;;;
4609,6;8,6;;;;;;;;;;;;
4611,5;8,7;;;;;;;;;;;;
4611,5;8,8;;;;;;;;;;;;
4612,5;8,4;;;;;;;;;;;;
4612,5;8,9;;;;;;;;;;;;
4612,6;8,9;;;;;;;;;;;;
4613;8,4;;;;;;;;;;;;
4616,6;8,5;;;;;;;;;;;;
4617,5;8,7;;;;;;;;;;;;
4619,5;8,5;;;;;;;;;;;;
4619,5;8,7;;;;;;;;;;;;
4620,5;8,7;;;;;;;;;;;;
4621,1;8,7;;;;;;;;;;;;
4621,6;8,9;;;;;;;;;;;;
4626,5;8,9;;;;;;;;;;;;
4626,6;9,0;;;;;;;;;;;;
4627,3;9,2;;;;;;;;;;;;
4627,5;8,9;;;;;;;;;;;;
4629,5;8,7;;;;;;;;;;;;
4632,5;9,0;;;;;;;;;;;;
4632,5;8,8;;;;;;;;;;;;
