Tiempo desde erupcion (d);Magnitud
3,619249;8,351
3,619723;8,32
3,620198;8,327
3,620684;8,328
3,62117;8,34
3,621656;8,324
3,622142;8,35
3,622628;8,329
3,623115;8,354
3,623612;8,332
3,624087;8,343
3,624561;8,319
3,625047;8,323
3,625522;8,324
3,626008;8,349
3,626494;8,336
3,62698;8,369
3,627478;8,335
3,627964;8,332
3,62845;8,354
3,628925;8,329
3,629411;8,339
3,629909;8,353
3,630395;8,34
3,630869;8,335
3,631344;8,335
3,631841;8,38
3,632316;8,361
3,632814;8,357
3,6333;8,37
3,633786;8,349
3,634272;8,346
3,634746;8,363
3,635233;8,343
3,63573;8,369
3,636216;8,393
3,636691;8,369
3,637165;8,375
3,637663;8,371
3,638149;8,365
3,638635;8,356
3,639121;8,366
3,639596;8,357
3,640094;8,38
3,64058;8,373
3,641066;8,353
3,641552;8,351
3,642038;8,37
3,642524;8,39
3,642999;8,349
3,643496;8,36
3,643983;8,417
3,644457;8,377
3,644932;8,353
3,645429;8,378
3,645915;8,384
3,646402;8,387
3,646876;8,398
3,647385;8,379
3,647871;8,401
3,648369;8,383
3,648855;8,386
3,649353;8,394
3,649839;8,37
3,650337;8,369
3,650823;8,388
3,651309;8,36
3,651795;8,378
3,652281;8,392
3,652756;8,408
3,653253;8,398
3,65374;8,382
3,654226;8,35
3,654712;8,378
3,655198;8,412
3,655684;8,403
3,65617;8,41
3,656656;8,419
3,657142;8,358
3,657628;8,42
3,658126;8,383
3,658612;8,386
3,659098;8,389
3,659596;8,363
3,660094;8,386
3,66058;8,387
3,661066;8,41
3,661575;8,405
3,662073;8,428
3,662559;8,407
3,663045;8,4
3,663531;8,38
3,664029;8,391
3,664527;8,408
3,665013;8,396
3,665499;8,406
3,665996;8,387
3,666471;8,382
3,666969;8,415
3,667443;8,408
3,667941;8,384
3,668439;8,374
3,668936;8,393
3,669422;8,389
3,66992;8,379
3,670406;8,389
3,670892;8,403
3,671378;8,401
3,671865;8,398
3,672362;8,391
3,672848;8,387
3,673334;8,377
3,673821;8,368
3,674318;8,365
3,674804;8,401
3,67529;8,394
3,675777;8,387
3,676263;8,383
3,676749;8,381
3,677246;8,416
3,677733;8,414
3,678219;8,401
3,678705;8,388
3,679203;8,38
3,679689;8,382
3,680198;8,367
3,680684;8,388
